season,team,games_played,avg_points_for,avg_points_against,total_points_for,total_points_against,wins,losses,win_pct,point_diff,star_players,superstars,win_component,scoring_component,talent_component,power_score,expected_wins,pythagorean_wins
2024,NYJ,17,19.0,22.764705882352942,323.0,387.0,5,12,0.29411764705882354,-3.764705882352942,1,0,-4.117647058823529,-1.882352941176471,0.5,-4.4,5.0,6.706519923298594
2024,PHI,18,25.666666666666668,19.38888888888889,462.0,349.0,13,5,0.7222222222222222,6.277777777777779,4,1,4.444444444444445,3.1388888888888893,3.0,6.6,13.0,11.885952855680456
2024,PIT,18,22.055555555555557,20.5,397.0,369.0,11,7,0.6111111111111112,1.5555555555555571,1,0,2.222222222222223,0.7777777777777786,0.5,1.8,11.0,9.778086929714163
2024,SEA,17,21.529411764705884,21.352941176470587,366.0,363.0,10,7,0.5882352941176471,0.17647058823529704,2,1,1.7647058823529416,0.08823529411764852,2.0,2.0,10.0,8.582899074011776
2024,SF,20,23.25,24.35,465.0,487.0,8,12,0.4,-1.1000000000000014,2,1,-1.9999999999999996,-0.5500000000000007,2.0,-1.0,8.0,9.45276065554226
2024,TB,19,28.36842105263158,21.36842105263158,539.0,406.0,11,8,0.5789473684210527,7.0,1,1,1.578947368421053,3.5,1.5,3.9,11.0,12.57523315176019
2024,TEN,17,19.11764705882353,26.88235294117647,325.0,457.0,4,13,0.23529411764705882,-7.764705882352942,1,0,-5.294117647058823,-3.882352941176471,0.5,-6.5,4.0,5.241988400874515
2024,WAS,17,27.764705882352942,24.11764705882353,472.0,410.0,11,6,0.6470588235294118,3.647058823529413,1,1,2.941176470588236,1.8235294117647065,1.5,3.6,11.0,9.905406596182045
2025,ARI,1,47.0,24.0,47.0,24.0,1,0,1.0,23.0,0,0,10.0,11.5,0.0,14.0,1.0,0.8310184189262106
2025,ATL,1,38.0,44.0,38.0,44.0,0,1,0.0,-6.0,0,0,-10.0,-3.0,0.0,-9.5,0.0,0.4140008689876483
2025,BAL,3,29.333333333333332,17.0,88.0,51.0,2,1,0.6666666666666666,12.333333333333332,0,0,3.3333333333333326,6.166666666666666,0.0,5.8,2.0,2.353893402145788
2025,BUF,4,25.75,21.75,103.0,87.0,2,2,0.5,4.0,0,0,0.0,2.0,0.0,0.7,2.0,2.3948519918459534
2025,CAR,1,44.0,38.0,44.0,38.0,1,0,1.0,6.0,0,0,10.0,3.0,0.0,8.2,1.0,0.5859991310123518
2025,CHI,1,24.0,22.0,24.0,22.0,1,0,1.0,2.0,0,0,10.0,1.0,0.0,6.9,1.0,0.5513723172510174
2025,CIN,1,19.0,17.0,19.0,17.0,1,0,1.0,2.0,0,0,10.0,1.0,0.0,6.9,1.0,0.5655222131012685
2025,CLE,1,10.0,35.0,10.0,35.0,0,1,0.0,-25.0,0,0,-10.0,-12.5,0.0,-15.0,0.0,0.04884392128316406
2025,DAL,1,19.0,23.0,19.0,23.0,0,1,0.0,-4.0,0,0,-10.0,-2.0,0.0,-8.8,0.0,0.3886950310745534
2025,DEN,2,22.5,15.5,45.0,31.0,1,1,0.5,7.0,0,0,0.0,3.5,0.0,1.8,1.0,1.414986533367541
2025,DET,2,31.0,27.0,62.0,54.0,1,1,0.5,4.0,0,0,0.0,2.0,0.0,0.7,1.0,1.1622611817820365
2025,GB,2,16.0,23.0,32.0,46.0,0,2,0.0,-7.0,0,0,-10.0,-3.5,0.0,-9.8,0.0,0.5946427478323285
2025,HOU,3,23.0,16.333333333333332,69.0,49.0,2,1,0.6666666666666666,6.666666666666668,0,0,3.3333333333333326,3.333333333333334,0.0,3.9,2.0,2.077107173591939
2025,IND,1,26.0,23.0,26.0,23.0,1,0,1.0,3.0,0,0,10.0,1.5,0.0,7.2,1.0,0.5721350614697462
2025,JAX,1,23.0,26.0,23.0,26.0,0,1,0.0,-3.0,0,0,-10.0,-1.5,0.0,-8.4,0.0,0.4278649385302538
2025,KC,4,19.25,30.25,77.0,121.0,2,2,0.5,-11.0,0,0,0.0,-5.5,0.0,-4.4,2.0,1.020696171343227
2025,LA,3,24.666666666666668,22.333333333333332,74.0,67.0,1,2,0.3333333333333333,2.3333333333333357,0,0,-3.333333333333334,1.1666666666666679,0.0,-2.1,1.0,1.6758226371250438
2025,LAC,2,23.0,26.0,46.0,52.0,1,1,0.5,-3.0,0,0,0.0,-1.5,0.0,-1.6,1.0,0.8557298770605074
2025,LV,1,20.0,34.0,20.0,34.0,0,1,0.0,-14.0,0,0,-10.0,-7.0,0.0,-12.2,0.0,0.22138921939514528
2025,MIA,1,20.0,32.0,20.0,32.0,0,1,0.0,-12.0,0,0,-10.0,-6.0,0.0,-11.5,0.0,0.24714292277318
