date,team,player,position,acquired,relinquished,notes,source,scraped_at,injury_status,injury_comment,injury_type,is_injury,is_return,processed_at
2025-08-09,UNK,Andre Dillard,OT,,Andre Dillard,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.838786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Olu Oluwatimi,C,,Olu Oluwatimi,Status: Aug 15 - Questionable,ESPN_WEB,2025-08-09T19:18:24.842784,Aug 15,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Sua Opeta,G,,Sua Opeta,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.847784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Cade Otton,TE,,Cade Otton,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.847784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,David Walker,LB,,David Walker,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.847784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Sam Cosmi,G,,Sam Cosmi,Status: Sep 7 - Out,ESPN_WEB,2025-08-09T19:18:24.858785,Sep 7,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Brandon Coleman,OT,,Brandon Coleman,Status: Aug 8 - Questionable,ESPN_WEB,2025-08-09T19:18:24.858785,Aug 8,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Marcus Mariota,QB,,Marcus Mariota,Status: Aug 18 - Questionable,ESPN_WEB,2025-08-09T19:18:24.858785,Aug 18,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Luke McCaffrey,WR,,Luke McCaffrey,Status: Aug 18 - Questionable,ESPN_WEB,2025-08-09T19:18:24.858785,Aug 18,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jaelyn Duncan,OT,,Jaelyn Duncan,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.853785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Andrew Rupcich,OT,,Andrew Rupcich,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.852784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kevin Zeitler,G,,Kevin Zeitler,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.852784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,L'Jarius Sneed,CB,,L'Jarius Sneed,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.852784,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
